,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
NDUFS5,-0.3765472466252171,-0.40184898096739063,-0.00626883225232597,-0.1340241939507889,down,4.4181529230197
KLF4,-0.6785219401375596,-0.6621549285063553,-0.006156944654130035,-0.13188557227741063,down,4.420928338304737
BTF3,-0.29440199995777666,-0.3551355910969921,-0.005877479494233694,-0.1270970521597961,down,4.434589158680519
UAP1,-0.448116176178139,-0.4530309559409103,-0.006447091235061669,-0.13997293633863978,down,4.44035570019584
KLHL29,-0.608448593610853,-0.6163513656403572,-0.010278917502229075,-0.226787163275366,down,4.463578738493332
NFE2L2,-0.42492466916186256,-0.42572271362735115,0.00989579835156794,-0.21947673121631261,down,4.471108081468644
PRELID1,-0.3040463876718674,-0.3195740641646991,0.004558185638273559,-0.10138893230025359,down,4.4752966834205345
TCEA1,-0.46956279725739186,-0.4691317737523686,0.018005168699370203,-0.40066554262693593,down,4.475915420808181
ARPC1B,-0.3215484617457299,-0.32627387033503213,0.006470068860737685,-0.14535876152895585,down,4.489693155750069
HSPA5,-0.5748548900166333,-0.56815213437255,-0.009882142358333007,-0.22261290042300147,down,4.493569550246196
RPL19,-0.34302971167325913,-0.39522552331288396,-0.007955989334872439,-0.1793195073201781,down,4.494347288263213
DPYD,-0.4409558203488709,-0.44728488808050226,-0.007222642376470182,-0.16414359477697332,down,4.5062879056129095
DISC1FP1,-0.6433281676149644,-0.6343236629524747,-0.018601647650247667,-0.4271123045147097,down,4.521113141086552
COX7A2L,-0.3849263424821342,-0.40996498406355586,0.007723635903848641,-0.17750783727023423,down,4.522458756707657
USP53,-0.4799060010639624,-0.4917615694940359,-0.007947778667865097,-0.18266704835041617,down,4.522520900220492
EEF2,-0.29492532255982506,-0.3300007097971694,-0.005572993041472585,-0.12886433326796054,down,4.5312568513302
SNHG16,-0.4084088510885414,-0.43166156165721714,0.0064838492359707255,-0.15230830116570682,down,4.554000218711959
DSTN,-0.44589353784947156,-0.46173776754965534,-0.006660145775677743,-0.1567193314624895,down,4.5564855832128375
TRMT112,-0.34309579262294376,-0.33650087983699073,-0.00489811778075665,-0.11589448454937636,down,4.564440633950625
AL033504.1,-0.44912796173667113,-0.46423031433057665,-0.00552476346834813,-0.13089119335707577,down,4.566311522941208
ATF3,-0.6011561362605828,-0.5885884940811539,-0.009427736889781919,-0.22470965822134875,down,4.575006827670291
MTX3,-0.7294331819734816,-0.6964964893938425,-0.022258423256016777,-0.5316340950189189,down,4.57801032754378
YWHAQ,-0.39082551592437553,-0.41073002218891697,0.00732104873876971,-0.17543598425183943,down,4.582750554745726
GHITM,-0.5017900635408428,-0.48725317555030834,-0.007097815918486711,-0.17084878619660504,down,4.589201029224424
ANKRD1,-0.47576651277930543,-0.5115010102355341,0.021721545141272003,-0.5272011155222642,down,4.60115478636269
PCBP2,-0.45969736383891907,-0.4845778983885386,0.009028318925199218,-0.22785358447054888,down,4.657505873614481
TUBA1B,-0.3278322036400229,-0.32168223228152876,0.00636798046091474,-0.16237860660506576,down,4.672381850406821
SYNE1,-0.35821381861389795,-0.362979654170766,0.007151932594464231,-0.18268353442205995,down,4.674869657567073
PLCB4,-0.3563050726859533,-0.4401156749261785,0.011254997324276136,-0.29053024970620356,down,4.690050764427922
CDK12,-0.3624696621939294,-0.3713720482271514,0.00494789111025488,-0.12864421179625557,down,4.700428985007258
HERPUD1,-0.58622364608175,-0.5959603657345537,-0.005041695434852377,-0.13161434435796185,down,4.706263954904291
MRPL20,-0.49912467313946524,-0.5048578925310424,-0.004248613381371763,-0.11234597852660343,down,4.724812607179734
CDK6,-0.5626333264267881,-0.5826661674185729,-0.015135921977372329,-0.40106770346897647,down,4.727797333698501
